players,endpoint,latency
0,GAME_LIST,326
0,JOIN,222
0,STATE_GET,176
0,PLAY,188
0,PLAY,183
0,PLAY,186
0,PLAY,169
0,PUSH_MESSAGE,1572768535135
0,PUSH_MESSAGE,1572768535137
0,PUSH_MESSAGE,1572768535138
0,PUSH_MESSAGE,1572768535140
0,PUSH_MESSAGE,1572768535141
0,PLAY,192
0,PUSH_MESSAGE,1572768535257
0,PUSH_MESSAGE,1572768535267
0,PLAY,172
0,PUSH_MESSAGE,1572768535508
0,PLAY,188
0,PUSH_MESSAGE,1572768535655
0,PLAY,171
0,PLAY,171
0,PUSH_MESSAGE,1572768536015
0,PLAY,173
0,PUSH_MESSAGE,1572768536149
0,PLAY,189
0,PUSH_MESSAGE,1572768536320
0,PUSH_MESSAGE,1572768536334
0,PLAY,166
0,PLAY,175
0,PUSH_MESSAGE,1572768536677
0,PLAY,175
0,PUSH_MESSAGE,1572768536883
0,PLAY,187
0,PUSH_MESSAGE,1572768537031
0,PUSH_MESSAGE,1572768537039
0,PLAY,183
0,PUSH_MESSAGE,1572768537257
0,PLAY,179
0,PLAY,182
0,PUSH_MESSAGE,1572768537709
0,PUSH_MESSAGE,1572768537710
0,PUSH_MESSAGE,1572768537712
0,PLAY,167
0,PLAY,168
0,PUSH_MESSAGE,1572768537935
0,PLAY,167
0,PLAY,172
0,PUSH_MESSAGE,1572768538301
0,PLAY,174
0,PUSH_MESSAGE,1572768538441
0,PLAY,181
0,PUSH_MESSAGE,1572768538611
0,PUSH_MESSAGE,1572768538621
0,PLAY,183
0,PUSH_MESSAGE,1572768538797
0,PUSH_MESSAGE,1572768538804
0,PLAY,185
0,PUSH_MESSAGE,1572768538979
0,PUSH_MESSAGE,1572768538988
0,PLAY,179
0,PUSH_MESSAGE,1572768539165
0,PUSH_MESSAGE,1572768539172
0,PLAY,188
0,PUSH_MESSAGE,1572768539342
0,PUSH_MESSAGE,1572768539356
0,PLAY,180
0,PUSH_MESSAGE,1572768539552
0,PUSH_MESSAGE,1572768539553
0,PLAY,183
0,PUSH_MESSAGE,1572768539751
0,PUSH_MESSAGE,1572768539758
0,PLAY,185
0,PUSH_MESSAGE,1572768539913
0,PUSH_MESSAGE,1572768539931
0,PLAY,186
0,PLAY,170
0,PUSH_MESSAGE,1572768540320
0,PUSH_MESSAGE,1572768540333
0,PLAY,183
0,PLAY,189
0,PUSH_MESSAGE,1572768540760
0,PUSH_MESSAGE,1572768540761
0,PUSH_MESSAGE,1572768540762
0,PUSH_MESSAGE,1572768540763
0,PLAY,168
0,PUSH_MESSAGE,1572768540895
0,PLAY,182
