players,endpoint,latency
0,GAME_LIST,325
0,JOIN,186
0,STATE_GET,177
0,PLAY,194
0,PLAY,169
0,PLAY,171
0,PLAY,171
0,PLAY,168
0,PLAY,168
0,PLAY,182
0,PLAY,171
0,PLAY,188
0,PLAY,185
0,PLAY,173
0,PLAY,173
0,PLAY,170
0,PUSH_MESSAGE,1572768655258
0,PLAY,170
0,PUSH_MESSAGE,1572768655259
0,PUSH_MESSAGE,1572768655261
0,PUSH_MESSAGE,1572768655263
0,PUSH_MESSAGE,1572768655275
0,PUSH_MESSAGE,1572768655277
0,PUSH_MESSAGE,1572768655279
0,PUSH_MESSAGE,1572768655280
0,PLAY,170
0,PLAY,180
0,PUSH_MESSAGE,1572768655616
0,PUSH_MESSAGE,1572768655621
0,PLAY,177
0,PUSH_MESSAGE,1572768655794
0,PUSH_MESSAGE,1572768655806
0,PLAY,172
0,PUSH_MESSAGE,1572768655994
0,PLAY,170
0,PLAY,174
0,PUSH_MESSAGE,1572768656317
0,PLAY,176
0,PUSH_MESSAGE,1572768656492
0,PLAY,185
0,PUSH_MESSAGE,1572768656683
0,PUSH_MESSAGE,1572768656684
0,PLAY,171
0,PLAY,182
0,PUSH_MESSAGE,1572768657026
0,PUSH_MESSAGE,1572768657027
0,PLAY,169
0,PLAY,175
0,PUSH_MESSAGE,1572768657377
0,PLAY,174
0,PUSH_MESSAGE,1572768657572
0,PLAY,189
0,PUSH_MESSAGE,1572768657735
0,PLAY,182
0,PUSH_MESSAGE,1572768657915
0,PLAY,168
0,PUSH_MESSAGE,1572768658086
0,PLAY,169
0,PUSH_MESSAGE,1572768658267
0,PLAY,186
0,PUSH_MESSAGE,1572768658444
0,PUSH_MESSAGE,1572768658450
0,PLAY,200
0,PUSH_MESSAGE,1572768658627
0,PUSH_MESSAGE,1572768658775
0,PLAY,170
0,PUSH_MESSAGE,1572768658993
0,PLAY,184
